grupo,idx,clase_real,clase_pred,distancia,feature,peso_lime
representativo,34286,0,0,0,Confianza Gobierno,-0.043575476836259286
representativo,34286,0,0,0,Apoyo a la democracia,-0.043400115724347765
representativo,34286,0,0,0,Distribución ingreso justa,-0.04194446619113415
representativo,34286,0,0,0,Situación económica país,-0.030142426455715368
representativo,34286,0,0,0,País para todos / poderosos,-0.027267365394050298
representativo,34286,0,0,0,Componente igualitario,0.027240519306652746
representativo,34286,0,0,0,Expectativa económica país,0.021922847472567123
representativo,34286,0,0,0,Aprobación gobierno,0.020875032069663093
representativo,34286,0,0,0,Democracia electoral,-0.00867079685194324
representativo,34286,0,0,0,Confianza Partidos Políticos,-0.007372668794164578
representativo,18053,0,0,0,Distribución ingreso justa,-0.045840877418522816
representativo,18053,0,0,0,Apoyo a la democracia,-0.0397804131451893
representativo,18053,0,0,0,Confianza Gobierno,-0.03878435189654865
representativo,18053,0,0,0,Situación económica país,-0.029094901852347612
representativo,18053,0,0,0,Componente igualitario,0.028571649247820893
representativo,18053,0,0,0,País para todos / poderosos,-0.02791440290410515
representativo,18053,0,0,0,Aprobación gobierno,0.02319049554342239
representativo,18053,0,0,0,Economía país vs. año anterior,0.015477635171666709
representativo,18053,0,0,0,Expectativa económica país,0.015382926961421874
representativo,18053,0,0,0,Nivel educativo,-0.005957160928165989
representativo,23960,0,1,1,Situación económica país,-0.021177148020373626
representativo,23960,0,1,1,Confianza Gobierno,-0.015100049276736076
representativo,23960,0,1,1,Aprobación gobierno,0.010390656675809965
representativo,23960,0,1,1,Componente igualitario,0.009869710378651253
representativo,23960,0,1,1,Apoyo a la democracia,-0.008829883003929503
representativo,23960,0,1,1,Conoce caso de corrupción,-0.006569429913371893
representativo,23960,0,1,1,Economía país vs. año anterior,0.006240946954469803
representativo,23960,0,1,1,Confianza Congreso,-0.0031811943594536054
representativo,23960,0,1,1,Democracia electoral,0.002144841491516748
representativo,23960,0,1,1,Situación ocupacional,0.0010586751011539429
representativo,34334,0,1,1,Situación económica país,-0.020832473983288614
representativo,34334,0,1,1,Confianza Gobierno,-0.017226967103462235
representativo,34334,0,1,1,Componente igualitario,0.011109560743749539
representativo,34334,0,1,1,Apoyo a la democracia,-0.009780972685857672
representativo,34334,0,1,1,Economía país vs. año anterior,0.008766999330633232
representativo,34334,0,1,1,Aprobación gobierno,0.006996605290155916
representativo,34334,0,1,1,Progreso contra corrupción,-0.005749292956248524
representativo,34334,0,1,1,Conoce caso de corrupción,-0.003950147289502947
representativo,34334,0,1,1,Integridad institucional (corrupción),-0.0033122850733184796
representativo,34334,0,1,1,Confianza Partidos Políticos,-0.0019622470151437242
representativo,494,0,0,0,Confianza Gobierno,-0.04291223446563933
representativo,494,0,0,0,Distribución ingreso justa,-0.04032252685384186
representativo,494,0,0,0,Apoyo a la democracia,-0.038383349256693705
representativo,494,0,0,0,Situación económica país,-0.02924776210349616
representativo,494,0,0,0,País para todos / poderosos,-0.02835281232074444
representativo,494,0,0,0,Componente igualitario,0.026821022572730686
representativo,494,0,0,0,Aprobación gobierno,0.02279782242151682
representativo,494,0,0,0,Expectativa económica país,0.019173847320690225
representativo,494,0,0,0,Economía país vs. año anterior,0.0106184151422744
representativo,494,0,0,0,Expectativa económica personal,0.0060314325689896815
representativo,23572,1,2,1,País para todos / poderosos,0.016418153359673043
representativo,23572,1,2,1,Apoyo a la democracia,0.012133512073428004
representativo,23572,1,2,1,Situación económica país,0.00620760116118761
representativo,23572,1,2,1,Aprobación gobierno,-0.0060843236225736255
representativo,23572,1,2,1,Conoce caso de corrupción,-0.005213807379148995
representativo,23572,1,2,1,Victimización delictiva,0.004672310992284643
representativo,23572,1,2,1,Componente igualitario,-0.003236016344525303
representativo,23572,1,2,1,Democracia electoral,0.0030613697172071634
representativo,23572,1,2,1,Integridad institucional (corrupción),-0.002872944155986877
representativo,23572,1,2,1,Sexo,0.002114473976506149
representativo,6231,1,2,1,País para todos / poderosos,0.016426672912668073
representativo,6231,1,2,1,Confianza Gobierno,0.009135122075457467
representativo,6231,1,2,1,Apoyo a la democracia,0.007538993613890992
representativo,6231,1,2,1,Aprobación gobierno,-0.006144729060067024
representativo,6231,1,2,1,Situación económica país,0.004651978727544171
representativo,6231,1,2,1,Componente igualitario,-0.004557301928765838
representativo,6231,1,2,1,Integridad institucional (corrupción),-0.0027065733011762834
representativo,6231,1,2,1,Progreso contra corrupción,-0.002671915663042845
representativo,6231,1,2,1,Igualdad ante la ley,0.0026320826065773188
representativo,6231,1,2,1,Victimización delictiva,0.0018185600718700404
representativo,34445,1,1,0,Situación económica país,-0.019778811191926312
representativo,34445,1,1,0,Confianza Gobierno,-0.014371749755798956
representativo,34445,1,1,0,Apoyo a la democracia,-0.010972921124328985
representativo,34445,1,1,0,Aprobación gobierno,0.010652112923018339
representativo,34445,1,1,0,Distribución ingreso justa,-0.009713599613599815
representativo,34445,1,1,0,Componente igualitario,0.009069970208777027
representativo,34445,1,1,0,Economía país vs. año anterior,0.00822707027609004
representativo,34445,1,1,0,Progreso contra corrupción,-0.005127536729027005
