variable,etiqueta,bloque,shap_medio
A_001_001,Apoyo a la democracia,Percepción política,0.2467505466907884
D_001_001,Situación económica país,Evaluación económica,0.22366386033757363
H_002_031,Confianza Gobierno,Confianza institucional,0.1653169131126071
B_001_101,País para todos / poderosos,Percepción política,0.15888044146378932
B_006_061,Aprobación gobierno,Percepción política,0.15123607663445535
C_006_003_011,Distribución ingreso justa,Evaluación económica,0.11719127011401098
D_001_021,Economía país vs. año anterior,Evaluación económica,0.08417444507135993
v2x_egal,Componente igualitario,Contexto democrático · Mid-level,0.08342127945376374
v2xeg_eqdr,Distribución igualitaria,Contexto democrático · Mid-level,0.07899302655982154
H_002_011,Confianza Congreso,Confianza institucional,0.0758461985477387
G_005_001,Progreso contra corrupción,Corrupción y seguridad,0.07114424731788208
H_002_241,Confianza Partidos Políticos,Confianza institucional,0.0667191688083974
H_002_041,Confianza Poder Judicial,Confianza institucional,0.05736760188397968
D_001_041,Expectativa económica país,Evaluación económica,0.056446206807099525
H_001_011,Confianza interpersonal,Confianza institucional,0.032983167049846954
H_002_111,Confianza Policía,Confianza institucional,0.024445231909072968
v2x_jucon,Independencia judicial,Contexto democrático · Mid-level,0.023962365979237097
H_002_131,Confianza Televisión,Confianza institucional,0.023400927861645254
v2xcl_rol,Igualdad ante la ley,Contexto democrático · Mid-level,0.02264795171711476
v2x_gender,Empoderamiento político mujeres,Contexto democrático · Mid-level,0.022607310555091013
A_007_001,Interés en política,Percepción política,0.020624796915267373
D_001_091,Expectativa económica personal,Evaluación económica,0.01826675127766538
A_007_071,Escala Izquierda-Derecha,Percepción política,0.01403604223274049
v2x_rule,Estado de derecho,Contexto democrático · Mid-level,0.013180224687068589
v2xlg_legcon,Control legislativo,Contexto democrático · Mid-level,0.01304639852768018
v2x_pubcorr,Integridad sector público,Contexto democrático · Mid-level,0.010957223297055072
v2x_execorr,Integridad ejecutiva,Contexto democrático · Mid-level,0.008926620694451088
v2xcs_ccsi,Índice soc. civil (CSI),Contexto democrático · Mid-level,0.008553420327011965
v2x_cspart,Participación soc. civil,Contexto democrático · Mid-level,0.0072306591934642814
H_002_161,Confianza FF.AA.,Confianza institucional,0.006062334112755987
S_701,Práctica religiosa,Características sociodemográficas,0.005976853497731209
X_008,Tamaño municipio (urbano-rural),Características sociodemográficas,0.005460336266332237
v2x_corr,Integridad institucional,Contexto democrático · Mid-level,0.004383726434576294
I_001_001,Victimización delictiva,Corrupción y seguridad,0.004361164640558743
v2x_polyarchy,Democracia electoral,Contexto democrático · High-level,0.0020498783450672003
H_002_101,Confianza Iglesia Católica,Confianza institucional,0.0016848111552522837
v2x_freexp_altinf,Libertad de expresión,Contexto democrático · Mid-level,0.0011542496409365128
C_003_003_011,Preocupación desempleo,Evaluación económica,0.0008865989785538855
v2x_accountability_osp,Rendición de cuentas,Contexto democrático · Mid-level,0.0004152176953562056
S_301,Nivel socioeconómico,Características sociodemográficas,0.0
S_200,Situación ocupacional,Características sociodemográficas,0.0
S_001,Sexo,Características sociodemográficas,0.0
G_002_011,Conoce caso de corrupción,Corrupción y seguridad,0.0
S_101,Nivel educativo,Características sociodemográficas,0.0
S_002,Edad,Características sociodemográficas,0.0
